new entry "UTSP_MassDisguise"
type "SpellData"
data "SpellType" "Shout"
data "Level" "6"
data "SpellSchool" "Illusion"
data "SpellProperties" "ApplyStatus(SEEMING,100,1)"
data "AreaRadius" "24"
data "TargetConditions" "Character() and Ally() and not Dead()"
data "Icon" "Spell_Illusion_Seeming"
data "DisplayName" "hfcaa3d8cgbd95g4df2g8d47g0c3195e389f7;2"
data "Description" "hdf38500fg33bdg4a7ag9589g21230cc729ce;4"
data "DescriptionParams" "8"
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "CastSound" "Spell_Cast_Utility_Seeming_L4to5"
data "CastTextEvent" "Cast"
data "UseCosts" ""
data "SpellAnimation" "554a18f7-952e-494a-b301-7702a85d4bc9,,;,,;54ae8856-36b2-4f70-8bd3-c2a760f93fd5,,;8ce3e582-e8bb-4d2f-9c5c-46c70c9b87c0,,;22dfbbf4-f417-4c84-b39e-2039315961e6,,;,,;5bfbe9f9-4fc3-4f26-b112-43d404db6a89,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetItems"
data "MemoryCost" ""
data "PrepareEffect" "6b6b660b-1d43-42ac-89b7-e361802a7ded"
data "CastEffect" "27d696a9-b246-4c2f-b2b7-5b74d32a61c1"
data "TargetEffect" "ae34bc2e-4387-457b-9c87-547407c4fc29"
data "PositionEffect" "6ae4ebdb-60c8-4382-98c8-1c07e9f702dc"
data "CombatAIOverrideSpell" "Target_Seeming_AI"
